resident,invader,initial_fraction,final_fraction,generations_run,fixated,invader_won,seed
Always Cooperate,Always Defect,0.25,0.9912109375,30,False,True,62912
Always Cooperate,Always Defect,0.25,1.0,2,True,True,63013
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70091
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70192
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70293
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70394
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70495
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70596
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70697
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70798
Always Cooperate,Always Defect,0.3,1.0,2,True,True,70899
Always Cooperate,Always Defect,0.3,1.0,2,True,True,71000
Always Cooperate,Always Defect,0.3,0.98828125,30,False,True,71101
Always Cooperate,Always Defect,0.3,0.9912109375,30,False,True,71202
Always Cooperate,Always Defect,0.3,1.0,2,True,True,71303
Always Cooperate,Always Defect,0.3,1.0,3,True,True,71404
Always Cooperate,Always Defect,0.3,1.0,2,True,True,71505
Always Cooperate,Always Defect,0.3,1.0,2,True,True,71606
Always Cooperate,Always Defect,0.3,1.0,2,True,True,71707
Always Cooperate,Always Defect,0.3,0.98828125,30,False,True,71808
Always Cooperate,Always Defect,0.3,1.0,2,True,True,71909
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72010
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72111
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72212
Always Cooperate,Always Defect,0.3,1.0,3,True,True,72313
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72414
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72515
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72616
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72717
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72818
Always Cooperate,Always Defect,0.3,1.0,2,True,True,72919
Always Cooperate,Always Defect,0.3,1.0,2,True,True,73020
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80098
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80199
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80300
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80401
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80502
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80603
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80704
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80805
Always Cooperate,Always Defect,0.35,1.0,2,True,True,80906
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81007
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81108
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81209
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81310
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81411
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81512
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81613
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81714
Always Cooperate,Always Defect,0.35,1.0,2,True,True,81815
