player_id,strategy,n_matches,total_payoff,avg_payoff_per_match,avg_payoff_per_round
117,Always Defect,999,12571,12.583583583583584,2.516716716716717
118,Always Defect,999,12571,12.583583583583584,2.516716716716717
119,Always Defect,999,12719,12.731731731731731,2.546346346346346
120,Always Defect,999,12527,12.53953953953954,2.507907907907908
121,Always Defect,999,12607,12.61961961961962,2.523923923923924
122,Always Defect,999,12539,12.551551551551551,2.5103103103103104
123,Always Defect,999,12435,12.447447447447447,2.4894894894894892
124,Always Defect,999,12699,12.711711711711711,2.542342342342342
125,Always Defect,999,12767,12.77977977977978,2.555955955955956
126,Always Defect,999,12515,12.527527527527528,2.5055055055055058
127,Always Defect,999,12563,12.575575575575575,2.515115115115115
128,Always Defect,999,12583,12.595595595595595,2.519119119119119
129,Always Defect,999,12387,12.3993993993994,2.47987987987988
130,Always Defect,999,12543,12.555555555555555,2.511111111111111
131,Always Defect,999,12555,12.567567567567568,2.5135135135135136
132,Always Defect,999,12703,12.715715715715715,2.5431431431431433
133,Always Defect,999,12559,12.571571571571571,2.5143143143143143
134,Always Defect,999,12483,12.495495495495495,2.499099099099099
135,Always Defect,999,12563,12.575575575575575,2.515115115115115
136,Always Defect,999,12615,12.627627627627628,2.525525525525526
137,Always Defect,999,12523,12.535535535535535,2.507107107107107
138,Always Defect,999,12591,12.603603603603604,2.5207207207207207
139,Always Defect,999,12587,12.5995995995996,2.51991991991992
140,Always Defect,999,12523,12.535535535535535,2.507107107107107
141,Always Defect,999,12583,12.595595595595595,2.519119119119119
142,Always Defect,999,12619,12.631631631631631,2.526326326326326
143,Always Defect,999,12523,12.535535535535535,2.507107107107107
144,Always Defect,999,12631,12.643643643643644,2.528728728728729
145,Always Defect,999,12639,12.651651651651651,2.5303303303303304
146,Always Defect,999,12531,12.543543543543544,2.508708708708709
147,Always Defect,999,12671,12.683683683683684,2.536736736736737
148,Always Defect,999,12567,12.57957957957958,2.515915915915916
149,Always Defect,999,12471,12.483483483483484,2.496696696696697
150,Always Defect,999,12595,12.607607607607608,2.521521521521522
151,Always Defect,999,12563,12.575575575575575,2.515115115115115
152,Always Defect,999,12575,12.587587587587588,2.5175175175175175
153,Always Defect,999,12623,12.635635635635635,2.527127127127127
154,Always Defect,999,12523,12.535535535535535,2.507107107107107
155,Always Defect,999,12711,12.723723723723724,2.5447447447447447
156,Always Defect,999,12775,12.787787787787789,2.5575575575575575
157,Always Defect,999,12679,12.691691691691691,2.538338338338338
158,Always Defect,999,12723,12.735735735735735,2.547147147147147
159,Always Defect,999,12543,12.555555555555555,2.511111111111111
160,Always Defect,999,12575,12.587587587587588,2.5175175175175175
161,Always Defect,999,12523,12.535535535535535,2.507107107107107
162,Always Defect,999,12587,12.5995995995996,2.51991991991992
163,Always Defect,999,12599,12.611611611611611,2.522322322322322
164,Always Defect,999,12555,12.567567567567568,2.5135135135135136
165,Always Defect,999,12587,12.5995995995996,2.51991991991992
166,Always Defect,999,12515,12.527527527527528,2.5055055055055058
167,Always Defect,999,12535,12.547547547547548,2.5095095095095097
168,Always Defect,999,12575,12.587587587587588,2.5175175175175175
169,Always Defect,999,12559,12.571571571571571,2.5143143143143143
170,Always Defect,999,12519,12.531531531531531,2.506306306306306
171,Always Defect,999,12695,12.707707707707709,2.541541541541542
172,Always Defect,999,12719,12.731731731731731,2.546346346346346
173,Always Defect,999,12651,12.663663663663664,2.532732732732733
174,Always Defect,999,12531,12.543543543543544,2.508708708708709
175,Always Defect,999,12607,12.61961961961962,2.523923923923924
176,Always Defect,999,12627,12.63963963963964,2.527927927927928
177,Always Defect,999,12619,12.631631631631631,2.526326326326326
178,Always Defect,999,12531,12.543543543543544,2.508708708708709
179,Always Defect,999,12615,12.627627627627628,2.525525525525526
180,Always Defect,999,12495,12.507507507507508,2.501501501501502
181,Always Defect,999,12519,12.531531531531531,2.506306306306306
182,Always Defect,999,12547,12.55955955955956,2.5119119119119118
183,Always Defect,999,12607,12.61961961961962,2.523923923923924
184,Always Defect,999,12527,12.53953953953954,2.507907907907908
185,Always Defect,999,12655,12.667667667667668,2.5335335335335336
186,Always Defect,999,12483,12.495495495495495,2.499099099099099
187,Always Defect,999,12607,12.61961961961962,2.523923923923924
188,Always Defect,999,12719,12.731731731731731,2.546346346346346
189,Always Defect,999,12531,12.543543543543544,2.508708708708709
190,Always Defect,999,12551,12.563563563563564,2.512712712712713
191,Always Defect,999,12643,12.655655655655655,2.531131131131131
192,Always Defect,999,12667,12.67967967967968,2.535935935935936
193,Always Defect,999,12523,12.535535535535535,2.507107107107107
194,Always Defect,999,12635,12.647647647647648,2.5295295295295297
195,Always Defect,999,12571,12.583583583583584,2.516716716716717
196,Always Defect,999,12427,12.43943943943944,2.487887887887888
